nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.3022711277008056,9.0,16.0,,,,,81.1527158095238,133.6875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2882728576660156,9.0,16.0,,,,,79.32128915,134.960938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2878146171569824,9.0,16.0,,,,,80.52363300000002,134.339844
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2914211750030517,9.0,16.0,,,,,78.358259,134.703125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2849781513214111,9.0,16.0,,,,,80.67695305000001,134.726562
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2871861457824707,9.0,16.0,,,,,80.17832034999999,134.519531
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2877836227416992,9.0,16.0,,,,,79.72929695,134.949219
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2884016036987304,9.0,16.0,,,,,80.1685547,134.804688
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2911977767944336,9.0,16.0,,,,,79.48925795,134.875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2920875549316406,9.0,16.0,,,,,79.75527355,134.710938
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2938575744628906,9.0,16.0,,,,,79.1168155238095,134.867188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2894308567047119,9.0,16.0,,,,,79.9171875,135.101562
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2847559452056885,9.0,16.0,,,,,79.78632805,134.53125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2888524532318115,9.0,16.0,,,,,80.246289,134.878906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2897536754608154,9.0,16.0,,,,,80.24414060000001,134.464844
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2907612323760986,9.0,16.0,,,,,79.52285155,134.734375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2889189720153808,9.0,16.0,,,,,79.55488284999998,134.859375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2889289855957031,9.0,16.0,,,,,79.77128905000001,134.8125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2900011539459228,9.0,16.0,,,,,80.46354166666667,134.023438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2903926372528076,9.0,16.0,,,,,79.6882813,134.652344
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2861466407775879,9.0,16.0,,,,,79.83281249999999,135.03125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2865190505981445,9.0,16.0,,,,,79.55214855000001,134.65625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2914035320281982,9.0,16.0,,,,,79.394336,134.710938
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2874512672424316,9.0,16.0,,,,,79.66855460000001,134.71875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2876324653625488,9.0,16.0,,,,,79.6501954,134.917969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2850008010864258,9.0,16.0,,,,,76.87946433333333,134.90625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2876174449920654,9.0,16.0,,,,,79.78945315,135.046875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2854769229888916,9.0,16.0,,,,,80.36015615,134.972656
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2905974388122558,9.0,16.0,,,,,79.85078134999999,135.0625
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2864289283752441,9.0,16.0,,,,,79.5898437,135.074219
