nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2891488075256347,9.0,16.0,,,,,79.66386725,134.84375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2900960445404053,9.0,16.0,,,,,79.94199234999999,134.710938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2904274463653564,9.0,16.0,,,,,79.97499995,135.015625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2909994125366211,9.0,16.0,,,,,80.603125,134.640625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2932665348052978,9.0,16.0,,,,,79.825586,134.816406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2922391891479492,9.0,16.0,,,,,79.5167969,134.921875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2943224906921386,9.0,16.0,,,,,79.62656260000003,135.152344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2900457382202148,9.0,16.0,,,,,80.70351575,135.667969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2881057262420654,9.0,16.0,,,,,80.16132804999998,134.804688
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2958033084869385,9.0,16.0,,,,,79.85390625,134.839844
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2900936603546142,9.0,16.0,,,,,79.6111329,134.703125
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.287515640258789,9.0,16.0,,,,,79.90527354999999,134.773438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.287290096282959,9.0,16.0,,,,,79.17500015,134.742188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2941091060638428,9.0,16.0,,,,,80.44804680000001,134.839844
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2925782203674316,9.0,16.0,,,,,79.20219495238095,134.667969
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2860891819000244,9.0,16.0,,,,,80.2355468,134.5
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2900116443634033,9.0,16.0,,,,,80.16230465,134.574219
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2887098789215088,9.0,16.0,,,,,80.119336,134.621094
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2884469032287597,9.0,16.0,,,,,80.103711,134.835938
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.289353609085083,9.0,16.0,,,,,79.41210944999999,134.832031
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2877492904663086,9.0,16.0,,,,,80.35390625,134.847656
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2893946170806885,9.0,16.0,,,,,80.43339854999999,135.171875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2894415855407715,9.0,16.0,,,,,76.10770085714285,134.675781
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2903125286102295,9.0,16.0,,,,,76.57049861904761,134.878906
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2903025150299072,9.0,16.0,,,,,78.51302100000001,134.929688
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2980985641479492,9.0,16.0,,,,,81.4659598095238,134.867188
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2887334823608398,9.0,16.0,,,,,79.8353516,135.101562
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2920010089874267,9.0,16.0,,,,,79.91035155,134.96875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.293316125869751,9.0,16.0,,,,,77.68508180952381,135.09375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.29060959815979,9.0,16.0,,,,,79.49082035,134.792969
