nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2745800018310547,9.0,16.0,192.0523871120049,78.26,0.92,3,79.03007820000002,134.820312
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2761454582214355,9.0,16.0,182.7350523227825,78.26,0.92,3,79.77304690000001,134.878906
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.280855655670166,9.0,16.0,180.8266533979351,78.26,0.92,3,79.17753905000001,134.601562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2720005512237549,9.0,16.0,198.4780170504457,78.26,0.92,3,79.61445324999998,133.878906
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2733111381530761,9.0,16.0,188.8678844644646,78.26,0.92,3,79.87167975,134.910156
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2738814353942871,9.0,16.0,186.8905676978131,78.26,0.92,3,79.60878905,135.050781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2720046043395996,9.0,16.0,215.57521587568425,78.26,0.92,3,79.40117194999999,134.585938
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2749533653259277,9.0,16.0,205.25634818913585,78.26,0.92,3,79.42441405000001,134.730469
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2725450992584228,9.0,16.0,203.0708447816371,78.26,0.92,3,79.45175789999999,136.410156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2736337184906006,9.0,16.0,196.32790313711635,78.26,0.92,3,80.03359365,134.707031
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2708766460418701,9.0,16.0,186.8354283974219,78.26,0.92,3,79.65136715000001,134.824219
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2703988552093506,9.0,16.0,184.85319929669643,78.26,0.92,3,80.0080078,134.671875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2784059047698974,9.0,16.0,192.2612862445992,78.26,0.92,3,79.8392578,136.519531
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2749190330505371,9.0,16.0,182.94966633394145,78.26,0.92,3,80.4513672,134.917969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2730844020843506,9.0,16.0,180.99961892533025,78.26,0.92,3,79.52109370000001,135.082031
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2733728885650635,9.0,16.0,199.961215265345,78.26,0.92,3,79.39335940000001,135.011719
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2758591175079345,9.0,16.0,190.28601442092813,78.26,0.92,3,79.51328135,136.710938
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2769942283630371,9.0,16.0,188.31138857168867,78.26,0.92,3,79.97343755,134.773438
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2704808712005615,9.0,16.0,193.7505844544577,78.26,0.92,3,79.27265620000001,134.980469
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2732741832733154,9.0,16.0,184.38419305314576,78.26,0.92,3,79.60703125,134.492188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2734804153442383,9.0,16.0,182.4211255419177,78.26,0.92,3,80.14121109999999,134.804688
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2810473442077636,9.0,16.0,200.60342078843152,78.26,0.92,3,79.3589844,136.691406
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2730476856231689,9.0,16.0,190.935806083774,78.26,0.92,3,79.87382804999999,134.878906
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.274881362915039,9.0,16.0,188.8797472925367,78.26,0.92,3,79.7101562,135.195312
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2741599082946777,9.0,16.0,179.19872557321537,78.26,0.92,3,79.37089855,134.707031
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2753071784973144,9.0,16.0,170.4678742324374,78.26,0.92,3,79.122461,134.640625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2738645076751709,9.0,16.0,168.6413728173343,78.26,0.92,3,79.7771484,134.707031
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2697770595550537,9.0,16.0,194.1777911857604,78.26,0.92,3,79.35214835,134.730469
