nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2753427028656006,9.0,16.0,192.0523871120049,78.26,0.92,3,79.48124999999999,134.832031
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.273104190826416,9.0,16.0,182.7350523227825,78.26,0.92,3,80.8734375,133.90625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2739307880401611,9.0,16.0,180.8266533979351,78.26,0.92,3,79.68339840000002,134.757812
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2746498584747314,9.0,16.0,198.4780170504457,78.26,0.92,3,79.57460929999999,134.675781
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2711379528045654,9.0,16.0,188.8678844644646,78.26,0.92,3,80.2419923,134.816406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2732954025268554,9.0,16.0,186.8905676978131,78.26,0.92,3,79.79374995,134.757812
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2742147445678711,9.0,16.0,215.57521587568425,78.26,0.92,3,80.19550785,134.125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2709999084472656,9.0,16.0,205.25634818913585,78.26,0.92,3,80.30820305,133.878906
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2769620418548584,9.0,16.0,203.0708447816371,78.26,0.92,3,79.24414075,136.496094
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2755177021026611,9.0,16.0,196.32790313711635,78.26,0.92,3,80.2945312,134.472656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2776997089385986,9.0,16.0,186.8354283974219,78.26,0.92,3,79.7134766,135.035156
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.277747631072998,9.0,16.0,184.85319929669643,78.26,0.92,3,80.29062480000002,136.3125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.269270658493042,9.0,16.0,192.2612862445992,78.26,0.92,3,79.41621089999998,134.941406
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2717969417572021,9.0,16.0,182.94966633394145,78.26,0.92,3,80.62656240000001,133.976562
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2768137454986572,9.0,16.0,180.99961892533025,78.26,0.92,3,79.24550789999999,135.046875
