nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0480208396911621,21,43,340.99,87.2,13.08,1.0,104.56043211764705,170.535156
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0477116107940673,21,43,340.99,87.2,13.08,1.0,102.1376953125,170.515625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0499541759490966,21,43,340.99,87.2,13.08,1.0,103.8579100625,170.78125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0501282215118408,21,43,,,,,105.17761947058823,170.355469
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0513226985931396,21,43,340.99,87.2,13.08,1.0,101.31347662499999,170.339844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0542998313903808,21,43,340.99,87.2,13.08,1.0,103.57177737500001,170.34375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0500135421752929,21,43,,,,,99.61121335294119,170.183594
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0566775798797607,21,43,,,,,104.10375987500001,169.730469
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0462372303009033,21,43,,,,,102.5007325,169.753906
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0628104209899902,21,43,,,,,102.21137166666668,170.511719
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0458035469055175,21,43,340.99,87.2,13.08,1.0,103.2905273125,170.417969
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0492415428161621,21,43,340.99,87.2,13.08,1.0,103.3098145,170.292969
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.058718204498291,21,43,340.99,87.2,13.08,1.0,101.4074706875,170.246094
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0524499416351318,21,43,340.99,87.2,13.08,1.0,104.204345625,170.433594
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0510711669921875,21,43,340.99,87.2,13.08,1.0,109.5713976111111,170.628906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0499279499053955,21,43,,,,,102.1015625,170.238281
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0512471199035644,21,43,340.99,87.2,13.08,1.0,102.487793,170.429688
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0578753948211669,21,43,,,,,106.65602023529411,170.222656
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0562479496002197,21,43,340.99,87.2,13.08,1.0,103.98874070588236,170.6875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0580272674560546,21,43,340.99,87.2,13.08,1.0,102.49121099999999,170.25
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0530517101287841,21,43,340.99,87.2,13.08,1.0,96.25759550000001,170.414062
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0500321388244628,21,43,,,,,102.70458987500001,170.09375
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0590500831604003,21,43,340.99,87.2,13.08,1.0,105.03369143749998,170.746094
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0523755550384521,21,43,,,,,100.27136941176471,170.453125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0500288009643554,21,43,340.99,87.2,13.08,1.0,103.06079106249999,170.648438
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0529513359069824,21,43,340.99,87.2,13.08,1.0,102.598876875,170.320312
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0480031967163085,21,43,340.99,87.2,13.08,1.0,101.0278321875,170.566406
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0465116500854492,21,43,340.99,87.2,13.08,1.0,101.662109375,170.234375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0553181171417236,21,43,340.99,87.2,13.08,1.0,104.54370131249999,170.324219
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0514402389526367,21,43,340.99,87.2,13.08,1.0,97.49425547058823,170.378906
