nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0941767692565918,8.0,12.0,,,,,74.19552961111111,134.175781
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0945463180541992,8.0,12.0,,,,,76.208676,134.800781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0940001010894775,8.0,12.0,,,,,72.60423510526316,134.851562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0940005779266357,8.0,12.0,,,,,76.20024673684212,134.59375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.095001220703125,8.0,12.0,,,,,76.39679284210526,134.816406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0948696136474609,8.0,12.0,,,,,71.12664473684211,134.570312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0949997901916503,8.0,12.0,,,,,75.97080589473683,135.066406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0957825183868408,8.0,12.0,,,,,76.20456410526315,134.785156
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.094689130783081,8.0,12.0,,,,,76.30921068421053,134.117188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0939996242523193,8.0,12.0,,,,,74.9095394736842,135.019531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0940010547637939,8.0,12.0,,,,,71.81907889473685,135.039062
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0944461822509765,8.0,12.0,,,,,73.77035363157896,134.640625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0946230888366699,8.0,12.0,,,,,74.34787338888889,135.101562
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0950002670288086,8.0,12.0,,,,,76.45415305263157,134.679688
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0949995517730712,8.0,12.0,,,,,72.3665707368421,134.722656
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0949995517730712,8.0,12.0,,,,,76.40296057894737,134.792969
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0947966575622558,8.0,12.0,,,,,74.26605905555556,134.558594
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0939524173736572,8.0,12.0,,,,,74.51089642105262,134.75
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0939998626708984,8.0,12.0,,,,,75.20929273684212,134.824219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0944933891296386,8.0,12.0,,,,,76.47368410526315,134.628906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0953447818756103,8.0,12.0,,,,,74.62456605555556,135.210938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0950005054473877,8.0,12.0,,,,,76.2181332631579,134.761719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0949208736419677,8.0,12.0,,,,,74.04166672222223,134.839844
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0940003395080566,8.0,12.0,,,,,75.73170236842107,134.136719
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0950000286102294,8.0,12.0,,,,,76.267681,134.945312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0954651832580566,8.0,12.0,,,,,76.28227789473685,135.003906
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0962343215942382,8.0,12.0,,,,,76.2625412105263,134.816406
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0944702625274658,8.0,12.0,,,,,74.3871528888889,134.859375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0935902595520019,8.0,12.0,,,,,72.39679273684212,134.453125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0961544513702392,8.0,12.0,,,,,75.99054278947368,134.308594
