nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2223851680755615,9.0,13.75,,,,,79.44707034999999,134.53125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2243661880493164,9.0,13.75,,,,,79.14082024999999,134.132812
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2200019359588623,9.0,13.75,,,,,79.49238290000002,134.792969
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2217030525207519,9.0,13.75,,,,,78.89140615,133.863281
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2211050987243652,9.0,13.75,,,,,79.66347670000002,134.339844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2185661792755127,9.0,13.75,,,,,78.80156244999999,134.035156
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2224202156066894,9.0,13.75,,,,,79.3183594,134.089844
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2287898063659668,9.0,13.75,,,,,79.2525391,134.042969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2220017910003662,9.0,13.75,,,,,78.33847664999999,133.660156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2210960388183593,9.0,13.75,,,,,79.91171885,134.410156
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2212979793548584,9.0,13.75,,,,,79.84492180000001,134.519531
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2248716354370117,9.0,13.75,,,,,79.14316405000001,133.9375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.219649076461792,9.0,13.75,,,,,79.3775391,134.4375
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2208137512207031,9.0,13.75,,,,,79.27265629999998,134.332031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2190456390380859,9.0,13.75,,,,,79.27109375,134.875
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2209997177124023,9.0,13.75,,,,,79.68691414999999,134.480469
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2200009822845459,9.0,13.75,,,,,79.83691400000001,135.324219
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.221003770828247,9.0,13.75,,,,,79.3681641,134.679688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2158465385437011,9.0,13.75,,,,,79.40917975,134.417969
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.220534086227417,9.0,13.75,,,,,79.12031245,134.121094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2235562801361084,9.0,13.75,,,,,79.6066406,134.378906
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2243447303771972,9.0,13.75,,,,,78.3880859,134.820312
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2220005989074707,9.0,13.75,,,,,78.8771485,133.875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2188808917999267,9.0,13.75,,,,,78.67929685,133.695312
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2190003395080566,9.0,13.75,,,,,79.52480469999999,134.21875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2278931140899658,9.0,13.75,,,,,79.6355468,133.921875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2250058650970459,9.0,13.75,,,,,77.30371084999999,135.121094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2210931777954101,9.0,13.75,,,,,79.18457040000001,133.824219
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2248058319091797,9.0,13.75,,,,,79.72890625,134.238281
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.22163987159729,9.0,13.75,,,,,79.32070315000001,134.433594
