nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0490009784698486,8.0,20.0,4333.987263902345,91.58,,100.0,74.89778644444445,136.375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0491394996643066,8.0,20.0,4364.814307313665,91.58,,100.0,75.09288194444443,135.992188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0480005741119384,8.0,20.0,4357.514728511089,91.58,,100.0,74.88628477777777,135.902344
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.047999620437622,8.0,20.0,4549.644817583336,91.58,,100.0,73.6742621111111,136.171875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0492587089538574,8.0,20.0,4581.416925029841,91.58,,100.0,74.66514766666667,135.777344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0490007400512695,8.0,20.0,4573.93170740362,91.58,,100.0,75.00477416666666,136.457031
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0630877017974853,8.0,20.0,,,,,75.08528644444445,134.34375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0640833377838134,8.0,20.0,,,,,75.24066833333333,133.6875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0639989376068115,8.0,20.0,,,,,74.20203983333334,133.652344
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0490000247955322,8.0,20.0,4477.830473167976,91.58,,100.0,74.46788194444444,134.109375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0520007610321044,8.0,20.0,4509.2118836761365,91.58,,100.0,75.14084205555555,135.691406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0490002632141113,8.0,20.0,4501.8418665422,91.58,,100.0,75.06770833333333,136.382812
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0491330623626709,8.0,20.0,4341.272175149934,91.58,,100.0,73.80273438888888,133.242188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0489993095397949,8.0,20.0,4372.136607093178,91.58,,100.0,75.00585944444444,135.824219
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.049001932144165,8.0,20.0,4364.857091509672,91.58,,100.0,74.52690988888888,134.117188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0493569374084472,8.0,20.0,4600.244334999319,91.58,,100.0,75.04904516666664,135.753906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.049170970916748,8.0,20.0,4632.123384843085,91.58,,100.0,74.66341155555557,135.574219
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0491852760314941,8.0,20.0,4624.60064122843,91.58,,100.0,75.11458333333333,135.984375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0490005016326904,8.0,20.0,4391.668772810337,91.58,,100.0,75.04991327777778,136.117188
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0489997863769531,8.0,20.0,4422.713975660319,91.58,,100.0,75.30490455555555,136.25
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0483887195587158,8.0,20.0,4415.3150772374165,91.58,,100.0,74.82703983333334,135.445312
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0650000572204589,8.0,20.0,,,,,74.9963108888889,133.902344
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0489993095397949,8.0,20.0,4653.609409863854,91.58,,100.0,74.86979183333332,135.796875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0490007400512695,8.0,20.0,4646.168967965517,91.58,,100.0,75.20182294444444,135.847656
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0639994144439697,8.0,20.0,,,,,74.71267366666666,133.953125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0653729438781738,8.0,20.0,,,,,74.69097211111111,133.632812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0650007724761962,8.0,20.0,,,,,74.7975261111111,133.742188
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0492646694183349,8.0,20.0,4406.016091404999,91.58,,100.0,74.48871527777777,135.40625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0490000247955322,8.0,20.0,4437.006797446535,91.58,,100.0,74.89605038888891,135.636719
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0489997863769531,8.0,20.0,4429.751991066521,91.58,,100.0,74.61219627777778,135.636719
