nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0915741920471191,9.0,24.0,,,,,74.74283866666669,134.699219
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0919990539550781,9.0,24.0,,,,,74.3355035,134.648438
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0947873592376709,9.0,24.0,,,,,71.92304684999999,134.734375
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0970003604888916,9.0,24.0,,,,,76.01953121052632,134.5
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.091123342514038,9.0,24.0,,,,,74.45421016666666,135.007812
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0930869579315185,9.0,24.0,,,,,75.00607644444445,134.699219
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0934278964996337,9.0,24.0,,,,,74.59939233333334,134.664062
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0924961566925048,9.0,24.0,,,,,74.9889323888889,134.761719
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0935218334197998,9.0,24.0,,,,,74.60980911111112,134.636719
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.09299898147583,9.0,24.0,,,,,74.41427955555555,134.78125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0939996242523193,9.0,24.0,,,,,74.19075516666668,134.746094
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0931794643402099,9.0,24.0,,,,,74.11979172222222,134.992188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0925724506378173,9.0,24.0,,,,,74.48177077777778,134.480469
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0910000801086425,9.0,24.0,,,,,74.4683158888889,134.535156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0909998416900634,9.0,24.0,,,,,75.04578994444445,135.183594
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0919985771179199,9.0,24.0,,,,,74.68793416666666,134.78125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0919990539550781,9.0,24.0,,,,,75.25086816666665,134.59375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0921823978424072,9.0,24.0,,,,,75.2562935,134.679688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0920009613037109,9.0,24.0,,,,,74.93489588888889,134.84375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0917084217071533,9.0,24.0,,,,,75.22157127777778,134.6875
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0909996032714843,9.0,24.0,,,,,75.86675344444446,133.871094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0919990539550781,9.0,24.0,,,,,74.68467883333332,134.867188
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0911741256713867,9.0,24.0,,,,,74.8294271111111,134.285156
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.090998888015747,9.0,24.0,,,,,75.10177944444443,134.988281
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0914576053619384,9.0,24.0,,,,,74.57486972222222,135.085938
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0909993648529052,9.0,24.0,,,,,74.73415788888889,134.582031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0914208889007568,9.0,24.0,,,,,75.14583338888889,134.769531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0919978618621826,9.0,24.0,,,,,75.0707466111111,134.785156
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0926549434661865,9.0,24.0,,,,,75.65972227777779,133.824219
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.091998815536499,9.0,24.0,,,,,74.20203994444445,134.921875
