nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0560452938079834,18,38,,108.36,16.43,1,106.22334558823529,172.046875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0566194057464599,18,38,,108.36,16.43,1,106.56479776470587,172.367188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0485262870788574,18,38,,108.36,16.43,1,96.082031375,172.273438
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.051337718963623,18,38,,108.36,16.43,1,102.42138675,171.988281
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0573675632476806,18,38,,108.36,16.43,1,103.88647449999999,172.269531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.051426887512207,18,38,,108.36,16.43,1,106.8581543125,172.246094
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0492143630981445,18,38,,108.36,16.43,1,101.2140214736842,172.367188
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0508515834808349,18,38,,108.36,16.43,1,105.39965818750001,172.492188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0466365814208984,18,38,,108.36,16.43,1,104.77026375,172.296875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0507419109344482,18,38,,108.36,16.43,1,102.13354493749999,172.234375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0559518337249755,18,38,,108.36,16.43,1,106.0458985625,172.335938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0494849681854248,18,38,,108.36,16.43,1,105.23437506249999,172.289062
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0486037731170654,18,38,,108.36,16.43,1,103.74632358823528,172.441406
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0532622337341308,18,38,,108.36,16.43,1,105.72363275000001,172.457031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0474758148193359,18,38,,108.36,16.43,1,106.25048824999999,172.601562
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0504093170166015,18,38,,108.36,16.43,1,101.8566894375,172.128906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.056826114654541,18,38,,108.36,16.43,1,105.890625,172.457031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0497012138366699,18,38,,108.36,16.43,1,105.982910125,172.144531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0505955219268798,18,38,,108.36,16.43,1,102.70818011764706,172.480469
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0517904758453369,18,38,,108.36,16.43,1,105.41674812500001,172.070312
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0475060939788818,18,38,,108.36,16.43,1,105.56347662499999,172.207031
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0499477386474609,18,38,,108.36,16.43,1,105.1059571875,172.273438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0561552047729492,18,38,,108.36,16.43,1,105.216797,172.277344
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0488796234130859,18,38,,108.36,16.43,1,105.495361375,172.460938
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0501775741577148,18,38,,108.36,16.43,1,100.338379,172.277344
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.050525426864624,18,38,,108.36,16.43,1,105.7609863125,172.425781
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0504603385925293,18,38,,108.36,16.43,1,104.02880875,172.117188
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.050952672958374,18,38,,108.36,16.43,1,103.0480956875,172.566406
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0557446479797363,18,38,,108.36,16.43,1,103.3190918125,172.464844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.056730031967163,18,38,,108.36,16.43,1,104.2844239375,172.214844
