nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0505893230438232,23,52,,,,,102.9509278125,170.074219
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0473835468292236,23,52,,,,,105.85615811764707,171.964844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0514318943023681,23,52,,,,,103.5205078125,170.242188
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0501604080200195,23,52,,,,,102.6650390625,169.816406
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0539379119873046,23,52,,,,,103.15923711764705,170.171875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0477287769317626,23,52,,,,,92.74747247058824,170.105469
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0536377429962158,23,52,,,,,104.77539049999999,169.863281
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0553081035614013,23,52,,,,,104.03446694117646,169.980469
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0472185611724853,23,52,,,,,104.95947262499999,169.460938
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0582392215728759,23,52,,,,,103.7177735625,170.027344
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0539674758911132,23,52,,,,,101.20726099999999,169.816406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0506319999694824,23,52,,,,,106.173828,170.230469
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0486347675323486,23,52,,,,,105.9011229375,169.863281
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0502927303314209,23,52,,,,,100.3515625625,169.773438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0570142269134521,23,52,,,,,106.2041015625,169.992188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0559659004211425,23,52,,,,,102.7941894375,169.605469
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0549421310424804,23,52,,,,,100.84811582352941,169.5625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0542140007019043,23,52,,,,,103.4633788125,169.660156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0492033958435058,23,52,,,,,102.183349625,169.917969
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0535197257995605,23,52,,,,,102.4356618235294,169.839844
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0563807487487793,23,52,,,,,104.24316412499999,170.269531
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.050121784210205,23,52,,,,,102.25683606250001,169.953125
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0500555038452148,23,52,,,,,101.54940270588234,169.929688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0478017330169677,23,52,,,,,107.17016606249999,169.695312
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0503244400024414,23,52,,,,,102.020263625,169.441406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0507020950317382,23,52,,,,,101.23095699999999,169.308594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0540673732757568,23,52,,,,,105.87524425000001,169.753906
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0468237400054931,23,52,,,,,103.6262206875,169.765625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.050400972366333,23,52,,,,,101.97771147058823,170.058594
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0518736839294433,23,52,,,,,103.00781243750001,169.796875
