nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.4120492935180664,9.0,16.0,,,,,78.30841622727272,134.460938
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.4052073955535888,9.0,16.0,,,,,82.53199399999998,134.675781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.4049582481384277,9.0,16.0,,,,,82.29594495238095,134.714844
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.4068303108215332,9.0,16.0,,,,,82.23939738095238,134.75
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.4025101661682129,9.0,16.0,,,,,83.21316961904762,135.320312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.4084351062774658,9.0,16.0,,,,,82.46484371428572,134.621094
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.4020323753356933,9.0,16.0,,,,,83.22433028571427,134.910156
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.4004292488098144,9.0,16.0,,,,,82.05040923809523,134.65625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.4029583930969238,9.0,16.0,,,,,83.32942714285713,134.945312
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.3962252140045166,9.0,16.0,,,,,82.06026771428571,134.734375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.3983736038208008,9.0,16.0,,,,,83.05282728571429,134.816406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.4008421897888183,9.0,16.0,,,,,82.33091519047619,134.917969
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.4105620384216308,9.0,16.0,,,,,83.49325295454547,134.5
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.4051451683044433,9.0,16.0,,,,,83.38689640909091,134.707031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.3993818759918213,9.0,16.0,,,,,82.29780514285714,134.9375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.4040074348449707,9.0,16.0,,,,,82.22637652380952,134.613281
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.396373987197876,9.0,16.0,,,,,82.84523804761905,134.753906
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.3996865749359131,9.0,16.0,,,,,81.83333323809525,134.390625
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.4059290885925293,9.0,16.0,,,,,79.8046874090909,134.609375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.4000060558319092,9.0,16.0,,,,,82.09170376190475,134.566406
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.4007272720336914,9.0,16.0,,,,,82.12890623809524,135.167969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.4033918380737304,9.0,16.0,,,,,82.48158490476192,134.800781
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.4084162712097168,9.0,16.0,,,,,83.39968045454545,134.328125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.4013316631317138,9.0,16.0,,,,,82.46354166666667,134.683594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.399299144744873,9.0,16.0,,,,,82.08947166666667,134.828125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.4030001163482666,9.0,16.0,,,,,81.89155495238096,134.582031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.4030311107635498,9.0,16.0,,,,,82.11346723809524,134.980469
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.4026284217834472,9.0,16.0,,,,,82.88709076190477,135.09375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.396475076675415,9.0,16.0,,,,,83.3335193809524,135.023438
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.4046220779418945,9.0,16.0,,,,,82.19996266666668,134.878906
