nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.041264533996582,8.0,12.0,,87.21,11.3,1,73.76106766666665,131.863281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0410010814666748,8.0,12.0,,87.21,11.3,1,73.31749133333334,131.96875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0420012474060058,8.0,12.0,,87.21,11.3,1,73.23394105555556,131.820312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0411715507507324,8.0,12.0,,87.21,11.3,1,74.07421888888888,132.992188
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0410006046295166,8.0,12.0,,87.21,11.3,1,73.43272572222222,132.113281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0420002937316894,8.0,12.0,,87.21,11.3,1,73.654731,132.148438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0419995784759521,8.0,12.0,,87.21,11.3,1,73.33745666666668,133.574219
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0431058406829834,8.0,12.0,,87.21,11.3,1,73.87934016666667,132.546875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0421681404113769,8.0,12.0,,87.21,11.3,1,73.44813372222221,135.609375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0410008430480957,8.0,12.0,,87.21,11.3,1,73.56510411111111,135.421875
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0411629676818847,8.0,12.0,,87.21,11.3,1,74.78515622222223,134.460938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0411314964294433,8.0,12.0,,87.21,11.3,1,73.74609372222223,132.453125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0423035621643066,8.0,12.0,,87.21,11.3,1,73.42404499999999,132.175781
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0410003662109375,8.0,12.0,,87.21,11.3,1,75.13476550000001,134.8125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0409998893737793,8.0,12.0,,87.21,11.3,1,73.47243916666667,133.71875
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0411717891693115,8.0,12.0,,87.21,11.3,1,73.64279505555557,132.304688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0410003662109375,8.0,12.0,,87.21,11.3,1,73.43880211111112,135.5
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0409991741180419,8.0,12.0,,87.21,11.3,1,72.65147577777778,135.355469
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0410010814666748,8.0,12.0,,87.21,11.3,1,73.8528645,132.175781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0420007705688476,8.0,12.0,,87.21,11.3,1,73.74370655555555,132.425781
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0420005321502685,8.0,12.0,,87.21,11.3,1,73.45833327777777,135.585938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0412204265594482,8.0,12.0,,87.21,11.3,1,73.58615449999999,135.816406
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0409996509552001,8.0,12.0,,87.21,11.3,1,73.38845488888887,135.332031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0419991016387939,8.0,12.0,,87.21,11.3,1,73.13780372222223,135.933594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0422163009643554,8.0,12.0,,87.21,11.3,1,73.484809,132.492188
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0410892963409423,8.0,12.0,,87.21,11.3,1,73.39279533333335,132.089844
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0414075851440429,8.0,12.0,,87.21,11.3,1,74.17144099999999,132.222656
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0419991016387939,8.0,12.0,,87.21,11.3,1,73.54904516666666,133.84375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0419998168945312,8.0,12.0,,87.21,11.3,1,73.44227433333334,135.820312
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0410475730895996,8.0,12.0,,87.21,11.3,1,73.55360233333333,132.300781
