nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.3980312347412109,9.0,16.0,,,,,82.23158485714288,134.183594
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.398522138595581,9.0,16.0,,,,,82.0202753809524,134.667969
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.397564172744751,9.0,16.0,,,,,82.03757433333332,134.742188
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.4015049934387207,9.0,16.0,,,,,82.53348214285714,135.0
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.4018411636352539,9.0,16.0,,,,,82.28013385714287,134.835938
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.4039859771728515,9.0,16.0,,,,,82.15345971428572,134.925781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.4009089469909668,9.0,16.0,,,,,82.02008928571428,134.785156
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.4022834300994873,9.0,16.0,,,,,81.84095990476189,134.347656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.397794246673584,9.0,16.0,,,,,81.79520085714283,134.679688
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.3989017009735107,9.0,16.0,,,,,82.46930804761905,134.703125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.4014425277709961,9.0,16.0,,,,,81.98846728571428,134.617188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.4007422924041748,9.0,16.0,,,,,81.98995542857142,134.925781
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.3979921340942383,9.0,16.0,,,,,83.14713542857145,134.683594
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.4074492454528808,9.0,16.0,,,,,82.13002233333334,134.449219
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.4007208347320556,9.0,16.0,,,,,82.67894357142856,134.964844
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.4008078575134277,9.0,16.0,,,,,82.38913709523807,135.097656
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.4054365158081054,9.0,16.0,,,,,82.31696438095238,134.523438
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.3982107639312744,9.0,16.0,,,,,78.61452422727274,135.207031
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.3985531330108642,9.0,16.0,,,,,82.38076628571429,134.945312
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.3996572494506836,9.0,16.0,,,,,83.05022323809524,135.117188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.4011824131011963,9.0,16.0,,,,,83.05245542857143,135.042969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.3994555473327636,9.0,16.0,,,,,82.32440471428569,135.390625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.4039227962493896,9.0,16.0,,,,,82.37462809523808,134.8125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.4051320552825928,9.0,16.0,,,,,81.98790923809524,134.589844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.4048960208892822,9.0,16.0,,,,,82.30022319047619,135.132812
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.3990004062652588,9.0,16.0,,,,,82.36755961904763,134.730469
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.3982830047607422,9.0,16.0,,,,,83.2161459047619,135.066406
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.409358263015747,9.0,16.0,,,,,83.70774149999998,135.019531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.3984992504119873,9.0,16.0,,,,,82.1385789047619,135.089844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.3998341560363769,9.0,16.0,,,,,82.44029009523808,135.046875
