nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0952568054199218,9.0,24.0,181.9372478086463,138.82999999999998,33.59,19.0,75.37413188888888,133.738281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0961782932281494,9.0,24.0,172.73923834511714,138.82999999999998,33.59,19.0,74.85134555555555,136.035156
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0967459678649902,9.0,24.0,170.77969136583323,138.82999999999998,33.59,19.0,74.94965277777779,134.570312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0951728820800781,9.0,24.0,188.35875608472872,138.82999999999998,33.59,19.0,75.67230888888888,133.785156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0960001945495605,9.0,24.0,178.87155370554717,138.82999999999998,33.59,19.0,77.41282905263157,136.148438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0949997901916503,9.0,24.0,176.8416022100849,138.82999999999998,33.59,19.0,74.90711805555556,134.757812
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0999982357025146,9.0,24.0,,,,,75.40950527777778,134.933594
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0950000286102294,9.0,24.0,195.25870950151835,138.82999999999998,33.59,19.0,74.15190972222223,136.4375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0981285572052002,9.0,24.0,,,,,74.70659722222223,134.535156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0960009098052978,9.0,24.0,186.2100526203572,138.82999999999998,33.59,19.0,75.07508683333332,136.519531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0966095924377441,9.0,24.0,176.83925550065834,138.82999999999998,33.59,19.0,75.50368933333333,133.90625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.095224380493164,9.0,24.0,174.8049270569864,138.82999999999998,33.59,19.0,75.46679694444444,135.066406
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.095494270324707,9.0,24.0,182.1461253117128,138.82999999999998,33.59,19.0,74.85503472222221,134.320312
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0950005054473877,9.0,24.0,172.95385526424394,138.82999999999998,33.59,19.0,74.6634115,136.375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0950005054473877,9.0,24.0,170.95276485859205,138.82999999999998,33.59,19.0,75.09179683333333,134.625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0980434417724609,9.0,24.0,189.8411696143732,138.82999999999998,33.59,19.0,74.94552961111111,134.773438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0960004329681396,9.0,24.0,180.2897477075777,138.82999999999998,33.59,19.0,74.64474833333334,134.777344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0950918197631836,9.0,24.0,178.2620387398535,138.82999999999998,33.59,19.0,74.98806433333333,134.867188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0967161655426025,9.0,24.0,183.6344659652023,138.82999999999998,33.59,19.0,75.06401922222223,135.023438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0970008373260498,9.0,24.0,174.38829839275633,138.82999999999998,33.59,19.0,75.54557294444446,134.902344
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0961611270904541,9.0,24.0,172.3736953986454,138.82999999999998,33.59,19.0,75.31163183333334,134.710938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.095736026763916,9.0,24.0,190.4828589642252,138.82999999999998,33.59,19.0,75.27517361111111,134.699219
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0970947742462158,9.0,24.0,180.9392741725648,138.82999999999998,33.59,19.0,75.46961805555557,135.449219
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0952606201171875,9.0,24.0,178.8301647649074,138.82999999999998,33.59,19.0,74.84743922222223,134.574219
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.098215103149414,9.0,24.0,,,,,75.3376735,135.015625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0980005264282226,9.0,24.0,,,,,75.53754350000001,134.042969
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0990631580352783,9.0,24.0,,,,,75.48502611111111,135.085938
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0999999046325683,9.0,24.0,184.0613510380952,138.82999999999998,33.59,19.0,75.33181433333334,134.65625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0959999561309814,9.0,24.0,174.80695895134585,138.82999999999998,33.59,19.0,75.41558172222221,134.066406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0959992408752441,9.0,24.0,172.76825358881428,138.82999999999998,33.59,19.0,75.01128461111111,135.039062
