nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0862560272216796,9.0,24.0,163.09456586082126,168.95,57.59,31.0,75.20355905555556,133.707031
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0830006599426269,9.0,24.0,153.58609413572125,168.95,57.59,31.0,75.33116311111111,133.71875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0850005149841308,9.0,24.0,151.7495802522031,168.95,57.59,31.0,75.29687494444444,133.816406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0829992294311523,9.0,24.0,170.01591689411873,168.95,57.59,31.0,75.30338538888888,133.722656
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0821297168731689,9.0,24.0,160.20888196077593,168.95,57.59,31.0,75.40234388888888,134.140625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0827393531799316,9.0,24.0,158.3055847226828,168.95,57.59,31.0,75.18815088888888,133.816406
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0989985466003418,9.0,24.0,,,,,75.0412326111111,134.855469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.084000825881958,9.0,24.0,177.9034476591488,168.95,57.59,31.0,74.98437494444444,134.882812
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0990002155303955,9.0,24.0,,,,,74.85199650000001,134.851562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0820004940032959,9.0,24.0,167.70065169176368,168.95,57.59,31.0,74.6627603888889,134.820312
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0830955505371093,9.0,24.0,158.01314656662788,168.95,57.59,31.0,75.05295144444443,135.09375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0830001831054687,9.0,24.0,156.1043022628876,168.95,57.59,31.0,74.78320305555556,135.023438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0823709964752197,9.0,24.0,163.32007415192723,168.95,57.59,31.0,75.13433161111112,133.839844
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0829999446868896,9.0,24.0,153.81736081892163,168.95,57.59,31.0,75.15559894444444,133.769531
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0831642150878906,9.0,24.0,151.939112798076,168.95,57.59,31.0,75.11176216666667,133.863281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0836939811706543,9.0,24.0,171.6149022264477,168.95,57.59,31.0,75.07942700000001,133.542969
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0840010643005371,9.0,24.0,161.74133926645067,168.95,57.59,31.0,75.30013016666666,133.582031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.084000825881958,9.0,24.0,159.84137813126796,168.95,57.59,31.0,75.27951383333333,133.898438
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0840015411376953,9.0,24.0,164.92519686979293,168.95,57.59,31.0,75.18315972222223,134.050781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0835850238800048,9.0,24.0,155.3661529065685,168.95,57.59,31.0,75.33702272222223,133.839844
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0832540988922119,9.0,24.0,153.47543353274318,168.95,57.59,31.0,75.30794255555557,133.757812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0829997062683105,9.0,24.0,172.30673928691022,168.95,57.59,31.0,75.20030377777776,133.921875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.084122896194458,9.0,24.0,162.440200747683,168.95,57.59,31.0,75.14865455555555,135.054688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0825984477996826,9.0,24.0,160.45902651670616,168.95,57.59,31.0,75.40646699999999,134.269531
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0986995697021484,9.0,24.0,,,,,75.26822916666669,134.652344
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.1005861759185791,9.0,24.0,,,,,75.61241311111111,135.023438
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0992233753204345,9.0,24.0,,,,,75.05967888888888,134.945312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0832509994506836,9.0,24.0,165.38538859170825,168.95,57.59,31.0,75.38845488888889,133.855469
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0830001831054687,9.0,24.0,155.81741305549616,168.95,57.59,31.0,75.15342883333332,133.734375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0829997062683105,9.0,24.0,153.9030216884513,168.95,57.59,31.0,75.32291672222223,133.746094
