nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0405905246734619,17,35,,,,,134.61443005882356,170.53125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0417149066925048,17,35,,,,,134.1838235,170.757812
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0467181205749511,17,35,,,,,133.6599196060606,170.578125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0414223670959472,17,35,,,,,133.3262866764706,170.335938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0445623397827148,17,35,,,,,133.0524384848485,170.695312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0456821918487548,17,35,,,,,133.38545502941176,170.671875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0457315444946289,17,35,,,,,134.6138556176471,170.3125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0411655902862548,17,35,,,,,135.4702889090909,171.042969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0425028800964355,17,35,,,,,134.32990066666665,170.328125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0482473373413085,17,35,,,,,134.7918198235294,170.851562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0892343521118164,17,35,,,,,134.9090072647059,170.675781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0431375503540039,17,35,,,,,133.88861263636363,170.859375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0457522869110107,17,35,,,,,135.35167720588234,170.527344
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0446705818176269,17,35,,,,,135.77611628571427,170.941406
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0413768291473388,17,35,,,,,133.90624996969697,170.710938
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0449416637420654,17,35,,,,,134.10087314705885,170.886719
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0447030067443847,17,35,,,,,134.16122139393937,170.730469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0411691665649414,17,35,,,,,134.05172824242425,170.597656
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0412580966949462,17,35,,,,,131.75781261764703,170.539062
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0445442199707031,17,35,,,,,135.2655101470588,171.070312
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0518069267272949,17,35,,,,,133.35819124242423,170.503906
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0489675998687744,17,35,,,,,132.02240338235296,170.410156
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0459702014923095,17,35,,,,,135.1964614117647,170.746094
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0449182987213134,17,35,,,,,134.7232306470588,170.691406
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0408978462219238,17,35,,,,,134.7375710606061,170.714844
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0468964576721191,17,35,,,,,132.28619044117644,170.257812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0441572666168212,17,35,,,,,134.78941772727273,170.0625
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0439860820770263,17,35,,,,,133.73650563636363,170.859375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.039952278137207,17,35,,,,,134.11121305882352,170.535156
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.058842658996582,17,35,,,,,135.05859364705884,170.824219
