nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2232205867767334,9.0,13.75,,,,,78.6949219,133.464844
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2180006504058838,9.0,13.75,,,,,79.59843760000001,134.625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2223784923553466,9.0,13.75,,,,,79.4902344,134.167969
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2190005779266357,9.0,13.75,,,,,79.3828126,134.546875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2193968296051025,9.0,13.75,,,,,79.20917970000002,134.808594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2181510925292968,9.0,13.75,,,,,79.53007829999999,134.023438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2258317470550537,9.0,13.75,,,,,79.0328125,134.007812
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2249567508697509,9.0,13.75,,,,,79.27480465000001,133.601562
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2215213775634765,9.0,13.75,,,,,79.6849608,134.789062
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2200927734375,9.0,13.75,,,,,79.30410155,134.164062
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2247259616851806,9.0,13.75,,,,,78.90449215,134.277344
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2197685241699218,9.0,13.75,,,,,79.93964845,133.949219
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2228510379791259,9.0,13.75,,,,,80.1171876,134.925781
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2240006923675537,9.0,13.75,,,,,79.46757814999998,134.519531
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2229506969451904,9.0,13.75,,,,,79.16347645000002,134.101562
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2190005779266357,9.0,13.75,,,,,79.0447265,134.179688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2200486660003662,9.0,13.75,,,,,79.39765625000001,134.601562
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2183444499969482,9.0,13.75,,,,,79.28359375000001,134.125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2247369289398193,9.0,13.75,,,,,79.03828125,133.925781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2189998626708984,9.0,13.75,,,,,78.41894520000001,134.378906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2230019569396972,9.0,13.75,,,,,79.21933604999998,133.867188
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2195932865142822,9.0,13.75,,,,,79.28046880000001,134.40625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2205379009246826,9.0,13.75,,,,,79.13613279999998,134.582031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2236475944519043,9.0,13.75,,,,,79.17539070000001,133.882812
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2244563102722168,9.0,13.75,,,,,79.25234364999999,133.941406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2210016250610351,9.0,13.75,,,,,74.42441399999998,134.832031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2206702232360839,9.0,13.75,,,,,79.57226564999999,134.378906
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2195959091186523,9.0,13.75,,,,,79.43378914999998,134.367188
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2220003604888916,9.0,13.75,,,,,79.25234385,134.3125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2212860584259033,9.0,13.75,,,,,79.23378905000001,133.972656
