nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0445291996002197,12,13,,,,,107.19439341176472,169.828125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0423884391784668,12,13,,,,,107.00455727777778,169.878906
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0434532165527343,12,13,,,,,105.91727941176471,169.707031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0417916774749755,12,13,,,,,106.86718752941178,169.832031
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0455806255340576,12,13,,,,,106.28103316666666,169.5625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0418407917022705,12,13,,,,,97.76470588235294,169.84375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0445175170898437,12,13,,,,,96.82996323529412,169.9375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0446705818176269,12,13,,,,,103.62868911111111,169.914062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.04683518409729,12,13,,,,,105.95381429411766,169.703125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0524408817291259,12,13,,,,,106.26378676470588,169.480469
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0440902709960937,12,13,,,,,96.64476105882353,169.757812
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0492274761199951,12,13,,,,,107.59053311764704,170.0625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0554726123809814,12,13,,,,,109.499349,169.742188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0517106056213378,12,13,,,,,97.84535847058824,169.625
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0399887561798095,12,13,,,,,105.91750923529412,169.691406
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0475161075592041,12,13,,,,,104.02872247058824,169.703125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0450952053070068,12,13,,,,,106.27504588235294,169.632812
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.040041446685791,12,13,,,,,105.94761023529412,169.671875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0432054996490478,12,13,,,,,100.58616735294117,169.402344
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0434801578521728,12,13,,,,,106.50505523529411,169.773438
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0604250431060791,12,13,,,,,105.29733447058824,169.632812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0428426265716552,12,13,,,,,103.69209564705884,169.71875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0510880947113037,12,13,,,,,106.82169105882353,169.578125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0482103824615478,12,13,,,,,105.73253688235295,169.746094
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0399665832519531,12,13,,,,,97.45795035294117,170.0
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0439672470092773,12,13,,,,,106.43428311764706,169.691406
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0454535484313964,12,13,,,,,104.81135117647058,169.683594
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0476400852203369,12,13,,,,,105.19117641176472,169.84375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0412163734436035,12,13,,,,,96.68221505882353,169.710938
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0415341854095459,12,13,,,,,102.25229782352942,169.792969
