nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0469505786895751,12,13,,,,,134.9909937777778,170.078125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0458571910858154,12,13,,,,,136.3752054210526,170.40625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.042978286743164,12,13,,,,,130.24641054054055,170.222656
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0442621707916259,12,13,,,,,134.77810338888887,170.40625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0444176197052001,12,13,,,,,135.24707036111113,170.273438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0410919189453125,12,13,,,,,135.80577275000002,170.324219
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0453975200653076,12,13,,,,,136.47536883333336,170.464844
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0439717769622802,12,13,,,,,133.65961361111113,170.496094
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0437583923339843,12,13,,,,,135.36653633333333,170.570312
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0406477451324462,12,13,,,,,132.14358110810812,170.339844
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.04437255859375,12,13,,,,,136.07584633333332,170.414062
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0447983741760253,12,13,,,,,132.78546471052633,170.148438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0417993068695068,12,13,,,,,135.38986541666665,170.253906
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0400922298431396,12,13,,,,,135.70078142857142,170.289062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0482513904571533,12,13,,,,,134.64993111764704,170.027344
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0427467823028564,12,13,,,,,135.94379344444445,170.585938
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0468068122863769,12,13,,,,,134.53450522222224,170.449219
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0476627349853515,12,13,,,,,136.86957458333333,170.367188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0438339710235595,12,13,,,,,134.93023019444445,170.355469
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0484223365783691,12,13,,,,,135.62261280555555,170.609375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0442838668823242,12,13,,,,,134.54991325,170.132812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0411593914031982,12,13,,,,,135.56347661111113,170.171875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0422859191894531,12,13,,,,,137.304792972973,170.421875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0430769920349121,12,13,,,,,135.9883867837838,170.523438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0430355072021484,12,13,,,,,135.17588949999998,170.347656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0412204265594482,12,13,,,,,135.63053383333332,170.453125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0410678386688232,12,13,,,,,135.6618923888889,170.054688
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0420072078704834,12,13,,,,,135.3149955277778,170.347656
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0457255840301513,12,13,,,,,135.72200527777778,170.226562
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0493474006652832,12,13,,,,,136.75846338888888,170.527344
