nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0488429069519043,10,10,136.4945658608213,,149.95999999999998,59,97.69944858823528,171.140625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0446741580963134,10,10,126.9860941357213,,149.95999999999998,59,108.17393094736843,170.9375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0498280525207519,10,10,125.14958025220314,,149.95999999999998,59,106.87454035294117,171.039062
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0453176498413085,10,10,143.41591689411877,,149.95999999999998,59,106.91153488235294,170.851562
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0457823276519775,10,10,133.608881960776,,149.95999999999998,59,104.63028499999999,170.867188
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0428435802459716,10,10,131.70558472268283,,149.95999999999998,59,106.19439352941174,171.273438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0381872653961181,10,10,161.83484862707343,,149.95999999999998,59,103.759765625,171.082031
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0358614921569824,10,10,151.30344765914884,,149.95999999999998,59,94.73741316666667,171.449219
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0469176769256591,10,10,149.19785258452742,,149.95999999999998,59,97.60294129411763,170.742188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.042712926864624,10,10,141.10065169176374,,149.95999999999998,59,106.08892458823529,171.234375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.055413007736206,10,10,131.4131465666277,,149.95999999999998,59,106.29342817647058,171.101562
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0566155910491943,10,10,129.50430226288768,,149.95999999999998,59,106.88235300000001,170.945312
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.044163703918457,10,10,136.7200741519273,,149.95999999999998,59,105.93175552941176,171.210938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0443513393402099,10,10,127.21736081892168,,149.95999999999998,59,106.11672776470587,171.09375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0457093715667724,10,10,125.33911279807604,,149.95999999999998,59,103.706787125,171.152344
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0479671955108642,10,10,145.01490222644776,,149.95999999999998,59,105.07123170588235,171.203125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0416946411132812,10,10,135.14133926645047,,149.95999999999998,59,106.50160852941177,171.1875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0578022003173828,10,10,133.241378131268,,149.95999999999998,59,106.536535,171.054688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0421164035797119,10,10,138.325196869793,,149.95999999999998,59,95.74999983333333,171.113281
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0410261154174804,10,10,128.76615290656855,,149.95999999999998,59,103.96630862500001,171.5
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0541257858276367,10,10,126.87543353274324,,149.95999999999998,59,106.9393381764706,171.113281
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0513699054718017,10,10,145.70673928691025,,149.95999999999998,59,105.96576282352942,171.046875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0475828647613525,10,10,135.84020074768307,,149.95999999999998,59,103.134521375,171.039062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0443718433380126,10,10,133.85902651670597,,149.95999999999998,59,104.25114900000001,171.21875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0487844944000244,10,10,122.649698435573,,149.95999999999998,59,105.5611214117647,170.953125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.040698766708374,10,10,113.73941390673924,,149.95999999999998,59,103.0256348125,170.957031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0467493534088134,10,10,111.98031196705888,,149.95999999999998,59,108.55642372222223,171.046875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0526056289672851,10,10,138.78538859170828,,149.95999999999998,59,107.16452194117646,170.753906
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.04937744140625,10,10,129.2174130554962,,149.95999999999998,59,107.23414523529411,171.128906
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0491671562194824,10,10,127.30302168845137,,149.95999999999998,59,98.3808593888889,171.414062
