nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0436885356903076,10,10,191.5945658608213,93.65,,1,103.740966875,170.96875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0624752044677734,10,10,182.0860941357213,93.65,,1,107.58940972222223,171.046875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0410642623901367,10,10,180.2495802522032,93.65,,1,106.2120864117647,171.269531
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0467410087585449,10,10,198.5159168941188,93.65,,1,107.29802382352942,171.140625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0539360046386718,10,10,188.708881960776,93.65,,1,104.79457723529411,170.757812
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0481147766113281,10,10,186.80558472268285,93.65,,1,93.90690111111113,171.070312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0426278114318847,10,10,216.93484862707345,93.65,,1,97.75114888235294,171.027344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0539412498474121,10,10,206.40344765914887,93.65,,1,106.62316188235295,171.15625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0478308200836181,10,10,204.29785258452745,93.65,,1,97.51148900000001,171.195312
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0478518009185791,10,10,196.2006516917637,93.65,,1,105.89269317647057,171.367188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0550522804260253,10,10,186.5131465666277,93.65,,1,108.54036444444444,171.316406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0551066398620605,10,10,184.60430226288767,93.65,,1,106.45840994117646,171.132812
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.048438549041748,10,10,191.8200741519273,93.65,,1,106.11994482352941,171.097656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0500268936157226,10,10,182.31736081892168,93.65,,1,104.1799172352941,170.847656
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0535335540771484,10,10,180.43911279807605,93.65,,1,106.32215064705883,171.195312
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0462419986724853,10,10,200.11490222644773,93.65,,1,105.07284011764708,171.1875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.046990156173706,10,10,190.2413392664505,93.65,,1,103.14149322222222,170.980469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0416605472564697,10,10,188.341378131268,93.65,,1,107.39085488235294,171.054688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0508334636688232,10,10,193.42519686979296,93.65,,1,107.6317275,171.253906
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0427477359771728,10,10,183.8661529065685,93.65,,1,103.202392375,170.894531
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0416145324707031,10,10,181.97543353274324,93.65,,1,106.7306985882353,171.28125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0467660427093505,10,10,200.80673928691027,93.65,,1,105.65050558823529,171.238281
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0505743026733398,10,10,190.94020074768304,93.65,,1,106.7738971764706,171.089844
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0431241989135742,10,10,188.959026516706,93.65,,1,97.10615794117648,170.976562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0501825809478759,10,10,177.749698435573,93.65,,1,104.53102017647059,171.070312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0479354858398437,10,10,168.83941390673925,93.65,,1,106.57996317647059,171.316406
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0428745746612548,10,10,167.0803119670589,93.65,,1,106.8460478235294,170.945312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0513052940368652,10,10,193.8853885917083,93.65,,1,101.83639705882354,171.191406
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0432150363922119,10,10,184.31741305549625,93.65,,1,106.695772,171.277344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0589404106140136,10,10,182.40302168845136,93.65,,1,98.58832466666667,171.03125
