nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0396559238433837,12,13,,,,,96.26792276470587,169.527344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0442149639129638,12,13,,,,,99.86122531578947,169.492188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0612905025482177,12,13,,,,,97.67302388235294,169.878906
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0414333343505859,12,13,,,,,97.14269311764707,169.515625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0475270748138427,12,13,,,,,103.39590994117647,169.441406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0513355731964111,12,13,,,,,103.75073237499998,169.425781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0470631122589111,12,13,,,,,105.76148894117648,169.402344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0452501773834228,12,13,,,,,105.0346967647059,169.542969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0459828376770019,12,13,,,,,106.28469682352942,169.6875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0424509048461914,12,13,,,,,104.6227021764706,169.417969
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0398375988006591,12,13,,,,,106.14613982352941,169.65625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0450136661529541,12,13,,,,,96.77274811764704,169.507812
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0453720092773437,12,13,,,,,103.24999988888888,169.972656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0399110317230224,12,13,,,,,97.54182,169.554688
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0440900325775146,12,13,,,,,105.20726105882353,169.71875
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0422534942626953,12,13,,,,,95.03906255555555,169.3125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0408105850219726,12,13,,,,,106.22196682352941,169.5
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0568292140960693,12,13,,,,,105.05491723529411,169.398438
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0459983348846435,12,13,,,,,105.52320776470589,169.515625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0421674251556396,12,13,,,,,105.59306064705883,169.4375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0487005710601806,12,13,,,,,107.74348961111112,169.464844
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0448808670043945,12,13,,,,,105.52389711764705,169.792969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0404775142669677,12,13,,,,,97.06939335294116,169.277344
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0430288314819335,12,13,,,,,104.07881417647059,169.722656
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0381457805633544,12,13,,,,,96.88602947058823,169.632812
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0510249137878418,12,13,,,,,106.63534,169.65625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0458805561065673,12,13,,,,,101.86328111764706,169.695312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0670266151428222,12,13,,,,,107.2888328235294,169.578125
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0477845668792724,12,13,,,,,109.62912316666666,169.632812
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0411615371704101,12,13,,,,,96.35431994117646,169.585938
